Player,Team,Minutes,NpGI90,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Alexis Mac Allister,Liverpool,810,0.0,0.13,0.17,0.86,0.74
Chris Richards,Crystal Palace,350,0.0,0.0,0.04,0.22,0.22
Jarrad Branthwaite,Everton,274,0.0,0.0,0.01,0.22,0.22
Jorge Cuenca,Fulham,1,0.0,0.0,0.0,0.0,0.0
Tommy Doyle,Wolverhampton Wanderers,247,0.3643724696356275,0.05,0.1,0.18,0.09
Cheick Oumar Doucoure,Crystal Palace,193,0.0,0.0,0.05,0.9,0.88
Kalvin Phillips,Ipswich,557,0.0,0.02,0.07,0.25,0.24
Jack Harrison,Everton,639,0.0,0.19,0.31,0.33,0.06
Dara O'Shea,Ipswich,789,0.0,0.0,0.08,0.19,0.19
Joël Veltman,Brighton,964,0.0,0.04,0.05,0.4,0.36
Wataru Endo,Liverpool,16,0.0,0.13,0.13,0.65,0.65
Iyenoma Destiny Udogie,Tottenham,1019,0.08832188420019627,0.08,0.11,0.59,0.55
Hee-Chan Hwang,Wolverhampton Wanderers,251,0.0,0.1,0.1,0.35,0.26
Konstantinos Tsimikas,Liverpool,218,0.0,0.34,0.39,0.69,0.65
Maxence Lacroix,Crystal Palace,810,0.1111111111111111,0.07,0.09,0.13,0.12
Guglielmo Vicario,Tottenham,1080,0.0,0.0,0.0,0.29,0.29
Matthew Cash,Aston Villa,470,0.0,0.09,0.1,0.35,0.35
Conor Townsend,Ipswich,1,0.0,2.71,2.71,2.71,0.0
Antonee Robinson,Fulham,1080,0.25,0.13,0.14,0.6,0.55
Jacob Ramsey,Aston Villa,649,0.2773497688751926,0.19,0.26,0.67,0.49
Rúben Dias,Manchester City,721,0.0,0.02,0.12,0.74,0.73
Vladimir Coufal,West Ham,234,0.0,0.09,0.1,0.37,0.32
Malo Gusto,Chelsea,745,0.0,0.03,0.15,0.49,0.36
Pape Sarr,Tottenham,517,0.3481624758220503,0.22,0.34,0.56,0.42
Robert Sánchez,Chelsea,1080,0.0,0.0,0.0,0.29,0.29
Radu Dragusin,Tottenham,364,0.0,0.0,0.01,0.46,0.46
Elliot Anderson,Nottingham Forest,630,0.42857142857142855,0.29,0.43,0.54,0.29
Kevin Schade,Brentford,502,0.0,0.02,0.29,0.54,0.27
Christian Walton,Ipswich,90,0.0,0.0,0.0,0.0,0.0
Jakub Moder,Brighton,2,0.0,1.31,1.31,3.47,3.47
